RA,ano_pesquisa,fase,fase_ideal,defasagem,turma,genero,ano_nascimento,idade,ano_ingresso,rede_ensino,pedra_atual,pedra_ano_anterior,inde,inde_ano_anterior,iaa,ieg,ips,ipp,ida,ipv,ian,n_avaliacoes,indicado_bolsa,atingiu_pv,tempo_na_associacao,categoria_defasagem
RA-840,2022,0,0,0,V,Masculino,2014,8,2022,Pública,Ametista,,7.875,,9.0,8.2,7.5,,7.8,7.5,10.0,2.0,Não,Não,0.0,Em fase
RA-841,2022,0,2,-2,V,Masculino,2011,11,2022,Pública,Ametista,,7.3,,8.5,8.5,7.5,,7.2,7.5,5.0,2.0,Não,Não,0.0,Moderada
RA-842,2022,0,0,0,Y,Feminino,2014,8,2022,Pública,Ametista,,7.952,,7.5,8.3,7.5,,9.1,8.25,10.0,2.0,Não,Não,0.0,Em fase
RA-843,2022,0,0,0,Y,Feminino,2014,8,2022,Pública,Topazio,,8.538,,8.5,9.0,7.5,,9.2,8.417,10.0,2.0,Sim,Sim,0.0,Em fase
RA-844,2022,0,0,0,Y,Masculino,2014,8,2022,Pública,Agata,,6.253,,0.0,5.0,8.1,,5.9,8.333,10.0,2.0,Sim,Não,0.0,Em fase
RA-845,2022,0,0,0,Y,Feminino,2014,8,2022,Pública,Topazio,,8.491,,10.0,8.8,7.5,,8.7,8.417,10.0,2.0,Não,Sim,0.0,Em fase
RA-846,2022,0,0,0,Y,Feminino,2015,7,2022,Pública,Ametista,,7.412,,9.0,7.2,7.5,,5.9,7.917,10.0,2.0,Não,Não,0.0,Em fase
RA-847,2022,0,1,-1,Y,Masculino,2013,9,2022,Pública,Agata,,6.839,,7.9,8.2,4.4,,7.7,7.417,5.0,2.0,Não,Não,0.0,Moderada
RA-848,2022,0,1,-1,Y,Masculino,2013,9,2022,Pública,Ametista,,7.488,,9.5,7.0,7.5,,9.0,7.833,5.0,2.0,Não,Não,0.0,Moderada
RA-849,2022,0,1,-1,Y,Masculino,2013,9,2022,Pública,Ametista,,7.369,,8.5,8.3,7.5,,9.1,7.417,5.0,2.0,Não,Não,0.0,Moderada
RA-850,2022,0,0,0,Y,Masculino,2014,8,2022,Pública,Ametista,,7.641,,10.0,7.3,7.5,,8.5,7.167,10.0,2.0,Não,Não,0.0,Em fase
RA-851,2022,0,0,0,Y,Masculino,2014,8,2022,Pública,Ametista,,7.515,,9.0,7.9,7.5,,8.3,6.583,10.0,2.0,Não,Não,0.0,Em fase
RA-852,2022,0,0,0,Z,Feminino,2015,7,2022,Pública,Quartzo,,5.666,,9.0,6.8,5.0,,2.1,5.5,10.0,2.0,Não,Não,0.0,Em fase
RA-853,2022,0,0,0,Z,Feminino,2014,8,2022,Pública,Topazio,,8.616,,10.0,9.6,7.5,,8.5,8.5,10.0,2.0,Não,Sim,0.0,Em fase
RA-854,2022,0,0,0,Z,Feminino,2014,8,2022,Pública,Topazio,,8.098,,8.0,9.0,7.5,,9.3,7.167,10.0,2.0,Não,Não,0.0,Em fase
RA-855,2022,0,1,-1,Z,Feminino,2013,9,2022,Pública,Topazio,,8.453,,10.0,9.6,7.5,,9.7,9.0,5.0,2.0,Não,Sim,0.0,Moderada
RA-856,2022,0,0,0,Z,Masculino,2015,7,2022,Pública,Topazio,,8.398,,10.0,9.1,7.5,,8.4,8.0,10.0,2.0,Não,Não,0.0,Em fase
RA-857,2022,0,1,-1,Z,Feminino,2013,9,2022,Pública,Topazio,,8.154,,8.5,8.9,7.5,,9.5,9.083,5.0,2.0,Não,Sim,0.0,Moderada
RA-858,2022,0,0,0,Z,Masculino,2015,7,2022,Pública,Ametista,,7.523,,10.0,7.1,5.6,,7.7,7.333,10.0,2.0,Não,Não,0.0,Em fase
RA-859,2022,0,0,0,Z,Feminino,2015,7,2022,Pública,Topazio,,8.325,,8.5,8.7,7.5,,8.9,8.25,10.0,2.0,Não,Não,0.0,Em fase
RA-860,2022,0,0,0,Z,Masculino,2015,7,2022,Pública,Topazio,,8.136,,9.5,8.5,7.5,,8.1,7.75,10.0,2.0,Não,Não,0.0,Em fase
RA-861,2023,0,0,0,ALFA A - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,9.31095,,9.5,10.0,8.13,8.4375,9.6,8.92,10.0,2.0,,,0.0,Em fase
RA-862,2023,0,1,-1,ALFA A - G0/G1,Masculino,2014,9,2023,Pública,Topazio,,8.2212,,8.5,9.1,8.14,7.5,8.9,8.585,5.0,2.0,,,0.0,Moderada
RA-863,2023,0,0,0,ALFA A - G0/G1,Masculino,2016,7,2023,Pública,Quartzo,,5.92975,,0.0,7.6,3.14,5.9375,6.3,6.26,10.0,2.0,,,0.0,Em fase
RA-864,2023,0,0,0,ALFA A - G0/G1,Feminino,2015,8,2023,Pública,Ametista,,7.034,,0.0,7.6,8.14,7.5,6.3,8.5,10.0,2.0,,,0.0,Em fase
RA-865,2023,0,0,0,ALFA A - G0/G1,Masculino,2014,9,2023,Pública,Topazio,,8.1552,,8.5,8.7,7.52,7.5,7.4,7.915,10.0,2.0,,,0.0,Em fase
RA-866,2023,0,0,0,ALFA A - G0/G1,Feminino,2016,7,2023,Pública,Ametista,,7.679,,0.0,8.3,8.76,7.5,8.6,8.415,10.0,2.0,,,0.0,Em fase
RA-867,2023,0,0,0,ALFA A - G0/G1,Masculino,2015,8,2023,Pública,Topazio,,8.6992,,9.0,8.6,8.76,7.5,8.9,8.415,10.0,2.0,,,0.0,Em fase
RA-868,2023,0,0,0,ALFA A - G0/G1,Masculino,2015,8,2023,Pública,Topazio,,8.63895,,10.0,9.5,8.76,7.1875,7.1,8.67,10.0,2.0,,,0.0,Em fase
RA-869,2023,0,0,0,ALFA A - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,9.2587,,9.0,10.0,8.76,8.125,9.6,8.75,10.0,2.0,,,0.0,Em fase
RA-870,2023,0,1,-1,ALFA A - G0/G1,Feminino,2014,9,2023,Pública,Quartzo,,4.909,,0.0,8.5,8.76,5.0,1.5,5.165,5.0,2.0,,,0.0,Moderada
RA-871,2023,0,1,-1,ALFA B - G2/G3,Masculino,2014,9,2023,Pública,Agata,,6.8617,,9.0,9.5,3.76,4.375,6.9,6.84,5.0,2.0,,,0.0,Moderada
RA-872,2023,0,2,-2,ALFA B - G2/G3,Feminino,2013,10,2023,Pública,Quartzo,,5.267,,0.0,6.7,2.52,6.25,4.3,8.5,5.0,2.0,,,0.0,Moderada
RA-873,2023,0,2,-2,ALFA B - G2/G3,Feminino,2012,11,2023,Pública,Ametista,,7.8012,,8.5,9.7,7.52,6.25,7.0,8.67,5.0,2.0,,,0.0,Moderada
RA-874,2023,0,1,-1,ALFA B - G2/G3,Masculino,2013,10,2023,Pública,Quartzo,,5.811,,0.0,8.2,7.52,6.25,4.8,6.67,5.0,2.0,,,0.0,Moderada
RA-875,2023,0,1,-1,ALFA B - G2/G3,Masculino,2014,9,2023,Pública,Topazio,,8.2712,,9.5,9.5,7.52,7.5,7.3,9.845,5.0,2.0,,,0.0,Moderada
RA-876,2023,0,0,0,ALFA B - G2/G3,Masculino,2015,8,2023,Pública,Topazio,,8.6492,,10.0,9.4,7.52,7.5,7.5,8.835,10.0,2.0,,,0.0,Em fase
RA-877,2023,0,1,-1,ALFA B - G2/G3,Masculino,2014,9,2023,Pública,Ametista,,7.4722,,9.5,9.5,7.52,5.0,6.9,7.5,5.0,2.0,,,0.0,Moderada
RA-878,2023,0,2,-2,ALFA B - G2/G3,Masculino,2013,10,2023,Pública,Agata,,6.24,,0.0,9.5,2.52,5.0,8.1,7.34,5.0,2.0,,,0.0,Moderada
RA-879,2023,0,1,-1,ALFA B - G2/G3,Feminino,2014,9,2023,Pública,Agata,,6.8225,,0.0,9.8,2.52,6.875,8.2,8.915,5.0,2.0,,,0.0,Moderada
RA-880,2023,0,0,0,ALFA B - G2/G3,Feminino,2015,8,2023,Pública,Agata,,6.724,,0.0,9.4,2.52,6.25,6.3,8.585,10.0,2.0,,,0.0,Em fase
RA-881,2023,0,0,0,ALFA B - G2/G3,Masculino,2015,8,2023,Pública,Ametista,,7.7322,,10.0,8.9,7.52,5.0,7.3,6.25,10.0,2.0,,,0.0,Em fase
RA-882,2023,0,0,0,ALFA C - G0/G1,Feminino,2015,8,2023,Pública,Agata,,6.0092,,9.0,8.6,2.52,3.75,4.7,4.16,10.0,2.0,,,0.0,Em fase
RA-883,2023,0,0,0,ALFA C - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,8.5082,,9.5,9.7,6.89,6.25,8.4,8.17,10.0,2.0,,,0.0,Em fase
RA-884,2023,0,0,0,ALFA C - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,8.4587,,9.0,9.7,4.39,6.875,8.8,8.66,10.0,2.0,,,0.0,Em fase
RA-885,2023,0,0,0,ALFA C - G0/G1,Masculino,2015,8,2023,Pública,Topazio,,8.8252,,9.0,9.8,7.52,7.5,8.7,8.665,10.0,2.0,,,0.0,Em fase
RA-886,2023,0,0,0,ALFA C - G0/G1,Feminino,2016,7,2023,Pública,Topazio,,8.6422,,8.5,9.4,7.52,7.5,8.1,9.0,10.0,2.0,,,0.0,Em fase
RA-887,2023,0,0,0,ALFA C - G0/G1,Masculino,2015,8,2023,Pública,Topazio,,8.6718,,8.9,8.9,7.52,7.5,8.4,9.09,10.0,2.0,,,0.0,Em fase
RA-888,2023,0,0,0,ALFA C - G0/G1,Masculino,2016,7,2023,Pública,Topazio,,8.9182,,9.0,10.0,7.52,7.5,8.8,8.83,10.0,2.0,,,0.0,Em fase
RA-889,2023,0,0,0,ALFA C - G0/G1,Masculino,2015,8,2023,Pública,Topazio,,8.8092,,8.5,9.5,6.89,7.5,9.1,9.0,10.0,2.0,,,0.0,Em fase
RA-890,2023,0,0,0,ALFA C - G0/G1,Masculino,2015,8,2023,Pública,Agata,,6.989,,0.0,9.1,2.52,6.25,8.3,8.16,10.0,2.0,,,0.0,Em fase
RA-891,2023,0,1,-1,ALFA C - G0/G1,Feminino,2014,9,2023,Pública,Ametista,,7.8882,,9.5,9.5,6.89,7.5,7.5,7.995,5.0,2.0,,,0.0,Moderada
RA-684,2023,0,0,0,ALFA D - G2/G3,Masculino,2015,8,2022,Privada,Ametista,Topazio,7.4277,8.26,9.0,8.1,7.52,6.875,6.5,5.84,10.0,2.0,,,1.0,Em fase
RA-892,2023,0,0,0,ALFA D - G2/G3,Masculino,2015,8,2023,Pública,Topazio,,8.8112,,8.0,9.6,6.89,7.5,8.3,10.01,10.0,2.0,,,0.0,Em fase
RA-857,2023,0,1,-1,ALFA D - G2/G3,Feminino,2013,10,2022,Pública,Topazio,Topazio,8.1442,8.154,8.5,9.0,7.52,7.5,8.5,9.01,5.0,2.0,,,1.0,Moderada
RA-893,2023,0,1,-1,ALFA D - G2/G3,Masculino,2014,9,2023,Pública,Topazio,,8.8042,,9.5,10.0,7.52,7.5,9.3,10.01,5.0,2.0,,,0.0,Moderada
RA-894,2023,0,1,-1,ALFA D - G2/G3,Feminino,2014,9,2023,Pública,Topazio,,8.8142,,9.5,9.9,7.52,7.5,9.4,10.01,5.0,2.0,,,0.0,Moderada
RA-690,2023,0,2,-2,ALFA D - G2/G3,Feminino,2013,10,2022,Pública,Topazio,Ametista,8.6112,7.541,9.0,9.8,6.89,7.5,9.1,10.01,5.0,2.0,,,1.0,Moderada
RA-895,2023,0,0,0,ALFA D - G2/G3,Feminino,2015,8,2023,Pública,Topazio,,8.5397,,9.5,9.5,7.52,6.875,6.8,9.5,10.0,2.0,,,0.0,Em fase
RA-896,2023,0,0,0,ALFA D - G2/G3,Masculino,2015,8,2023,Pública,Topazio,,9.0912,,9.5,10.0,6.89,7.5,8.5,10.01,10.0,2.0,,,0.0,Em fase
RA-693,2023,0,0,0,ALFA D - G2/G3,Feminino,2015,8,2022,Pública,Topazio,Ametista,9.0112,7.944,10.0,9.4,6.89,7.5,8.5,10.01,10.0,2.0,,,1.0,Em fase
RA-675,2023,0,0,0,ALFA D - G2/G3,Masculino,2014,9,2022,Pública,Topazio,Ametista,8.3577,7.576,10.0,8.0,7.52,6.875,8.3,8.34,10.0,2.0,,,1.0,Em fase
RA-850,2023,0,1,-1,ALFA D - G2/G3,Masculino,2014,9,2022,Pública,Agata,Ametista,6.06525,7.641,0.0,7.9,6.26,6.5625,7.3,6.265,5.0,2.0,,,1.0,Moderada
RA-897,2023,0,1,-1,ALFA D - G2/G3,Masculino,2014,9,2023,Pública,Quartzo,,5.48225,,0.0,8.1,7.52,6.5625,6.5,3.32,5.0,2.0,,,0.0,Moderada
RA-842,2023,0,1,-1,ALFA E - G2/G3,Feminino,2014,9,2022,Pública,Ametista,Ametista,7.2117,7.952,9.0,8.5,3.77,5.625,7.9,8.01,5.0,2.0,,,1.0,Moderada
RA-898,2023,0,1,-1,ALFA E - G2/G3,Masculino,2014,9,2023,Pública,Topazio,,8.4217,,9.0,9.8,3.77,8.125,9.4,10.01,5.0,2.0,,,0.0,Moderada
RA-899,2023,0,0,0,ALFA E - G2/G3,Masculino,2015,8,2023,Pública,Topazio,,8.8452,,10.0,9.8,3.77,7.5,9.5,9.34,10.0,2.0,,,0.0,Em fase
RA-900,2023,0,0,0,ALFA E - G2/G3,Feminino,2015,8,2023,Pública,Topazio,,8.8947,,9.0,9.8,9.38,8.125,7.8,8.67,10.0,2.0,,,0.0,Em fase
RA-846,2023,0,0,0,ALFA E - G2/G3,Feminino,2015,8,2022,Pública,Ametista,Ametista,7.4637,7.412,9.5,8.2,3.77,5.625,6.0,8.67,10.0,2.0,,,1.0,Em fase
RA-901,2023,0,2,-2,ALFA E - G2/G3,Masculino,2012,11,2023,Pública,Ametista,,7.3112,,8.5,8.7,3.77,6.25,7.5,8.595,5.0,2.0,,,0.0,Moderada
RA-743,2023,0,2,-2,ALFA E - G2/G3,Feminino,2013,10,2022,Pública,Agata,Agata,6.659,6.672,0.0,9.1,3.77,7.5,7.1,9.01,5.0,2.0,,,1.0,Moderada
RA-681,2023,0,2,-2,ALFA E - G2/G3,Masculino,2012,11,2022,Pública,Agata,Ametista,6.2955,7.204,0.0,7.8,3.77,5.625,8.3,8.18,5.0,2.0,,,1.0,Moderada
RA-902,2023,0,3,-3,ALFA E - G2/G3,Masculino,2011,12,2023,Pública,Quartzo,,5.97345,,10.0,9.3,2.52,5.3125,3.9,6.5,2.5,2.0,,,0.0,Severa
RA-903,2023,0,0,0,ALFA E - G2/G3,Feminino,2015,8,2023,Pública,Topazio,,8.5242,,10.0,9.6,5.02,7.5,7.8,9.01,10.0,2.0,,,0.0,Em fase
RA-851,2023,0,1,-1,ALFA E - G2/G3,Masculino,2014,9,2022,Pública,Agata,Ametista,6.1683,7.515,8.4,7.5,2.52,5.625,6.6,6.01,5.0,2.0,,,1.0,Moderada
RA-847,2023,0,2,-2,ALFA E - G2/G3,Masculino,2013,10,2022,Pública,Agata,Agata,6.5418,6.839,7.9,9.1,2.52,5.0,7.6,5.84,5.0,2.0,,,1.0,Moderada
RA-904,2023,0,0,0,ALFA F - G0/G1,Feminino,2016,7,2023,Pública,Topazio,,8.140783333,,9.0,9.3,7.52,7.8125,6.4,7.836666667,10.0,2.0,,,0.0,Em fase
RA-858,2023,0,0,0,ALFA F - G0/G1,Masculino,2015,8,2022,Pública,Ametista,Ametista,7.248833333,7.523,0.0,8.1,3.77,8.125,9.3,7.946666667,10.0,2.0,,,1.0,Em fase
RA-905,2023,0,1,-1,ALFA F - G0/G1,Masculino,2013,10,2023,Pública,Ametista,,7.831033333,,9.5,9.4,7.52,6.875,8.3,7.056666667,5.0,2.0,,,0.0,Moderada
RA-702,2023,0,1,-1,ALFA F - G0/G1,Feminino,2014,9,2022,Pública,Topazio,Ametista,8.239866667,7.387,10.0,10.0,5.63,7.5,9.3,7.833333333,5.0,2.0,,,1.0,Moderada
RA-725,2023,0,1,-1,ALFA F - G0/G1,Masculino,2014,9,2022,Pública,Topazio,Agata,8.117366667,6.33,9.5,9.0,7.52,8.125,8.4,8.113333333,5.0,2.0,,,1.0,Moderada
RA-906,2023,0,0,0,ALFA F - G0/G1,Masculino,2015,8,2023,Pública,Topazio,,8.1922,,7.5,9.2,7.52,7.5,8.6,6.95,10.0,2.0,,,0.0,Em fase
RA-907,2023,0,0,0,ALFA F - G0/G1,Feminino,2015,8,2023,Privada,Topazio,,8.962033333,,9.5,9.6,7.52,8.125,9.3,8.336666667,10.0,2.0,,,0.0,Em fase
RA-908,2023,0,0,0,ALFA F - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,8.479366667,,9.0,9.0,7.52,8.125,7.9,8.223333333,10.0,2.0,,,0.0,Em fase
RA-909,2023,0,2,-2,ALFA F - G0/G1,Feminino,2013,10,2023,Pública,Topazio,,8.486033333,,10.0,9.9,7.52,8.125,9.2,8.056666667,5.0,2.0,,,0.0,Moderada
RA-708,2023,0,1,-1,ALFA F - G0/G1,Masculino,2013,10,2022,Pública,Ametista,Ametista,7.5105,7.282,0.0,9.8,7.52,8.125,9.2,8.28,5.0,2.0,,,1.0,Moderada
RA-910,2023,0,0,0,ALFA F - G0/G1,Masculino,2015,8,2023,Pública,Ametista,,7.801,,0.0,8.8,7.52,8.75,8.9,8.17,10.0,2.0,,,0.0,Em fase
RA-671,2023,0,2,-2,ALFA G - G2/G3,Masculino,2013,10,2021,Pública,Agata,Ametista,6.5143,7.617,7.9,8.3,3.14,5.625,7.8,5.68,5.0,2.0,,,2.0,Moderada
RA-836,2023,0,2,-2,ALFA G - G2/G3,Masculino,2013,10,2022,Pública,Ametista,Ametista,7.6417,7.665,9.5,9.6,6.27,6.875,6.7,8.085,5.0,2.0,,,1.0,Moderada
RA-911,2023,0,2,-2,ALFA G - G2/G3,Masculino,2012,11,2023,Pública,Quartzo,,5.59545,,9.0,6.7,2.52,5.3125,3.4,7.01,5.0,2.0,,,0.0,Moderada
RA-860,2023,0,0,0,ALFA G - G2/G3,Masculino,2015,8,2022,Pública,Topazio,Topazio,8.2372,8.136,7.0,9.8,6.89,7.5,7.4,8.34,10.0,2.0,,,1.0,Em fase
RA-727,2023,0,1,-1,ALFA G - G2/G3,Masculino,2014,9,2022,Pública,Ametista,Ametista,7.6802,7.736,9.5,8.8,2.52,7.5,8.0,9.34,5.0,2.0,,,1.0,Moderada
RA-739,2023,0,1,-1,ALFA G - G2/G3,Masculino,2014,9,2022,Pública,Ametista,Agata,7.5972,6.82,9.0,8.3,7.52,6.25,7.6,8.25,5.0,2.0,,,1.0,Moderada
RA-740,2023,0,2,-2,ALFA G - G2/G3,Feminino,2013,10,2022,Privada,Ametista,Ametista,7.2845,7.218,0.0,8.7,7.52,6.875,9.1,8.925,5.0,2.0,,,1.0,Moderada
RA-912,2023,0,1,-1,ALFA G - G2/G3,Feminino,2014,9,2023,Pública,Ametista,,7.0797,,7.0,9.4,7.52,5.625,6.3,7.175,5.0,2.0,,,0.0,Moderada
RA-706,2023,0,2,-2,ALFA G - G2/G3,Feminino,2012,11,2021,Pública,Ametista,Ametista,7.1527,7.659,9.0,7.8,4.39,6.875,7.3,8.08,5.0,2.0,,,2.0,Moderada
RA-840,2023,0,1,-1,ALFA G - G2/G3,Masculino,2014,9,2022,Pública,Ametista,Ametista,7.7862,7.875,9.5,9.0,4.38,7.5,8.2,8.59,5.0,2.0,,,1.0,Moderada
RA-841,2023,0,2,-2,ALFA G - G2/G3,Masculino,2011,12,2022,Pública,Agata,Ametista,6.78,7.3,0.0,7.2,7.52,7.5,6.9,9.84,5.0,2.0,,,1.0,Moderada
RA-709,2023,0,2,-2,ALFA G - G2/G3,Feminino,2012,11,2022,Pública,Agata,Quartzo,6.6927,5.313,10.0,7.9,7.52,5.625,4.9,6.59,5.0,2.0,,,1.0,Moderada
RA-913,2023,0,2,-2,ALFA H - G0/G1,Feminino,2013,10,2023,Pública,Ametista,,7.7432,,8.0,8.5,6.89,6.25,7.9,9.245,5.0,2.0,,,0.0,Moderada
RA-726,2023,0,0,0,ALFA H - G0/G1,Feminino,2015,8,2022,Pública,Ametista,Agata,7.3687,6.985,10.0,6.1,7.52,5.625,6.0,8.17,10.0,2.0,,,1.0,Em fase
RA-914,2023,0,0,0,ALFA H - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,8.6912,,10.0,9.2,7.52,6.25,8.7,8.67,10.0,2.0,,,0.0,Em fase
RA-915,2023,0,0,0,ALFA H - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,8.5962,,10.0,8.4,7.52,7.5,8.4,8.67,10.0,2.0,,,0.0,Em fase
RA-916,2023,0,1,-1,ALFA H - G0/G1,Feminino,2014,9,2023,Pública,Ametista,,7.3882,,9.5,9.7,2.52,6.25,6.6,9.005,5.0,2.0,,,0.0,Moderada
RA-917,2023,0,0,0,ALFA H - G0/G1,Feminino,2015,8,2023,Pública,Quartzo,,5.987,,0.0,7.2,2.52,6.25,7.0,6.35,10.0,2.0,,,0.0,Em fase
RA-918,2023,0,0,0,ALFA H - G0/G1,Feminino,2016,7,2023,Pública,Ametista,,7.4967,,10.0,8.7,2.52,5.625,7.7,7.01,10.0,2.0,,,0.0,Em fase
RA-919,2023,0,1,-1,ALFA H - G0/G1,Masculino,2014,9,2023,Pública,Agata,,6.225,,0.0,8.4,7.52,6.25,5.3,8.09,5.0,2.0,,,0.0,Moderada
RA-920,2023,0,0,0,ALFA H - G0/G1,Feminino,2015,8,2023,Pública,Agata,,6.9647,,9.0,6.3,7.52,5.625,6.1,6.35,10.0,2.0,,,0.0,Em fase
RA-921,2023,0,0,0,ALFA I - G2/G3,Feminino,2016,7,2023,Pública,Ametista,,7.7407,,9.0,9.7,7.52,5.625,6.3,6.68,10.0,2.0,,,0.0,Em fase
RA-922,2023,0,0,0,ALFA I - G2/G3,Feminino,2014,9,2023,Pública,Topazio,,8.5262,,8.5,9.7,3.14,7.5,8.4,10.01,10.0,2.0,,,0.0,Em fase
RA-715,2023,0,2,-2,ALFA I - G2/G3,Feminino,2013,10,2022,Pública,Quartzo,Agata,5.8915,6.656,0.0,9.5,3.14,5.625,5.4,7.675,5.0,2.0,,,1.0,Moderada
RA-822,2023,0,2,-2,ALFA I - G2/G3,Masculino,2012,11,2022,Pública,Agata,Agata,6.4497,6.922,8.5,8.4,2.52,5.625,7.1,5.925,5.0,2.0,,,1.0,Moderada
RA-923,2023,0,0,0,ALFA I - G2/G3,Feminino,2015,8,2023,Pública,Topazio,,8.8842,,9.5,9.9,7.52,7.5,7.3,10.01,10.0,2.0,,,0.0,Em fase
RA-742,2023,0,2,-2,ALFA I - G2/G3,Feminino,2013,10,2022,Pública,Ametista,Ametista,7.024,7.097,0.0,7.6,7.52,7.5,7.5,10.01,5.0,2.0,,,1.0,Moderada
RA-924,2023,0,0,0,ALFA I - G2/G3,Masculino,2015,8,2023,Pública,Agata,,6.5207,,9.0,5.6,7.52,5.625,5.0,5.93,10.0,2.0,,,0.0,Em fase
RA-925,2023,0,0,0,ALFA I - G2/G3,Masculino,2015,8,2023,Pública,Ametista,,7.1837,,9.0,8.9,7.52,5.625,5.4,5.595,10.0,2.0,,,0.0,Em fase
RA-853,2023,0,1,-1,ALFA J - G2/G3,Feminino,2014,9,2022,Pública,Ametista,Topazio,7.8402,8.616,10.0,9.5,3.77,6.25,7.4,9.84,5.0,2.0,,,1.0,Moderada
RA-854,2023,0,0,0,ALFA J - G2/G3,Feminino,2014,9,2022,Pública,Agata,Topazio,6.6415,8.098,0.0,9.5,3.77,5.625,6.0,8.01,10.0,2.0,,,1.0,Em fase
RA-700,2023,0,1,-1,ALFA J - G2/G3,Feminino,2013,10,2022,Pública,Topazio,Ametista,8.2852,7.738,9.5,9.7,7.52,6.25,7.8,9.84,5.0,2.0,,,1.0,Moderada
RA-701,2023,0,2,-2,ALFA J - G2/G3,Masculino,2012,11,2021,Pública,Ametista,Ametista,7.3982,7.755,9.5,9.9,3.77,6.25,7.2,7.68,5.0,2.0,,,2.0,Moderada
RA-856,2023,0,0,0,ALFA J - G2/G3,Masculino,2015,8,2022,Pública,Ametista,Topazio,7.3355,8.398,0.0,9.6,7.52,5.625,7.3,8.255,10.0,2.0,,,1.0,Em fase
RA-672,2023,0,2,-2,ALFA J - G2/G3,Feminino,2013,10,2021,Pública,Agata,Ametista,6.5623,7.48,7.9,9.5,2.52,5.625,6.4,6.43,5.0,2.0,,,2.0,Moderada
RA-859,2023,0,0,0,ALFA J - G2/G3,Feminino,2015,8,2022,Pública,Topazio,Topazio,8.6042,8.325,8.0,9.2,7.52,7.5,7.3,10.01,10.0,2.0,,,1.0,Em fase
RA-704,2023,0,2,-2,ALFA J - G2/G3,Masculino,2012,11,2022,Pública,Agata,Agata,6.8297,6.741,10.0,9.9,3.14,5.625,6.1,6.265,5.0,2.0,,,1.0,Moderada
RA-741,2023,0,2,-2,ALFA J - G2/G3,Feminino,2012,11,2022,Pública,Agata,Agata,6.2707,6.896,9.5,6.9,4.39,5.625,5.1,7.095,5.0,2.0,,,1.0,Moderada
RA-719,2023,0,2,-2,ALFA J - G2/G3,Masculino,2012,11,2021,Pública,Agata,Quartzo,6.4137,5.552,9.5,5.3,7.52,5.625,5.9,7.095,5.0,2.0,,,2.0,Moderada
RA-926,2023,0,1,-1,ALFA J - G2/G3,Feminino,2014,9,2023,Pública,Ametista,,7.7792,,9.0,10.0,3.77,7.5,6.8,9.51,5.0,2.0,,,0.0,Moderada
RA-927,2023,0,1,-1,ALFA J - G2/G3,Feminino,2014,9,2023,Pública,Ametista,,7.5982,,9.0,9.7,3.77,7.5,6.4,9.255,5.0,2.0,,,0.0,Moderada
RA-928,2023,0,0,0,ALFA K - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,9.3712,,8.5,10.0,7.52,8.75,9.8,9.67,10.0,2.0,,,0.0,Em fase
RA-929,2023,0,0,0,ALFA K - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,9.1312,,8.5,9.8,7.52,8.75,8.8,9.67,10.0,2.0,,,0.0,Em fase
RA-930,2023,0,0,0,ALFA K - G0/G1,Masculino,2015,8,2023,Pública,Topazio,,8.8872,,9.0,8.8,7.52,8.75,9.0,9.0,10.0,2.0,,,0.0,Em fase
RA-931,2023,0,0,0,ALFA K - G0/G1,Masculino,2015,8,2023,Pública,Ametista,,7.3747,,8.5,8.2,2.52,5.625,7.8,7.6,10.0,2.0,,,0.0,Em fase
RA-932,2023,0,0,0,ALFA K - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,8.3847,,9.5,7.9,7.52,8.125,7.5,9.0,10.0,2.0,,,0.0,Em fase
RA-933,2023,0,0,0,ALFA K - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,8.6712,,9.0,8.4,7.52,8.75,7.7,9.67,10.0,2.0,,,0.0,Em fase
RA-934,2023,0,0,0,ALFA K - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,9.1737,,9.0,9.6,7.52,9.375,8.7,9.67,10.0,2.0,,,0.0,Em fase
RA-935,2023,0,1,-1,ALFA K - G0/G1,Masculino,2014,9,2023,Pública,Ametista,,7.9535,,0.0,9.8,7.52,9.375,9.4,9.67,5.0,2.0,,,0.0,Moderada
RA-936,2023,0,0,0,ALFA K - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,8.5477,,9.0,10.0,7.52,8.125,6.5,8.915,10.0,2.0,,,0.0,Em fase
RA-937,2023,0,0,0,ALFA K - G0/G1,Feminino,2015,8,2023,Pública,Topazio,,9.3237,,9.5,9.6,7.52,9.375,9.2,9.67,10.0,2.0,,,0.0,Em fase
RA-756,2023,0,2,-2,ALFA K - G0/G1,Masculino,2013,10,2022,Pública,Ametista,Agata,7.0927,6.976,10.0,8.7,7.52,5.625,6.1,6.59,5.0,2.0,,,1.0,Moderada
